Elapsed Time (s),Charge Ah,Velocity m/s,Solar Output W(dc),Battery Connection 
185400.0,8624800.0,0,0,0
185700.0,8624800.0,0,0,0
186000.0,8624800.0,0,0,0
186300.0,8624800.0,0,0,0
186600.0,8624800.0,0,0,0
186900.0,8624800.0,0,0,0
187200.0,8624800.0,0,0,0
187500.0,8624800.0,0,0,0
187800.0,8624800.0,0,0,0
188100.0,8624800.0,0,0,0
188400.0,8624800.0,0,0,0
188700.0,8624800.0,0,0,0
189000.0,8624800.0,0,0,0
189300.0,8624800.0,0,0,0
189600.0,8624800.0,0,0,0
189900.0,8624800.0,0,0,0
190200.0,8624800.0,0,0,0
190500.0,8624800.0,0,0,0
190800.0,8624800.0,0,0,0
191100.0,8624800.0,0,0,0
191400.0,8624800.0,0,0,0
191700.0,8624800.0,0,0,0
192000.0,8624800.0,0,0,0
192300.0,8624800.0,0,0,0
192600.0,8624800.0,0,0,0
192900.0,8624800.0,0,0,0
193200.0,8624800.0,0,0,0
193500.0,8624800.0,0,0,0
193800.0,8624800.0,0,0,0
194100.0,8624800.0,0,0,0
194400.0,8624800.0,0,0,0
194700.0,8624800.0,0,0,0
195000.0,8624800.0,0,0,0
195300.0,8624800.0,0,0,0
195600.0,8624800.0,0,0,0
195900.0,8624800.0,0,0,0
196200.0,8624800.0,0,0,0
196500.0,8624800.0,0,0,0
196800.0,8624800.0,0,0,0
197100.0,8624800.0,0,0,0
197400.0,8624800.0,0,0,0
197700.0,8624800.0,0,0,0
198000.0,8624800.0,0,0,0
198300.0,8624800.0,0,0,0
198600.0,8624800.0,0,0,0
198900.0,8624800.0,0,0,0
199200.0,8624800.0,0,0,0
199500.0,8624800.0,0,0,0
199800.0,8624800.0,0,0,0
200100.0,8624800.0,0,0,0
200400.0,8624800.0,0,0,0
200700.0,8624800.0,0,0,0
201000.0,8624800.0,0,0,0
201300.0,8624800.0,0,0,0
201600.0,8624800.0,0,0,0
201900.0,8624800.0,0,0,0
202200.0,8624800.0,0,0,0
202500.0,8624800.0,0,0,0
202800.0,8624800.0,0,0,0
203100.0,8624800.0,0,0,0
203400.0,8624800.0,0,0,0
203700.0,8624800.0,0,0,0
204000.0,8624800.0,0,0,0
204300.0,8624800.0,0,0,0
204600.0,8624800.0,0,0,0
204900.0,8624800.0,0,0,0
205200.0,8780800.0,0,0,0
205500.0,8975800.0,0,0,0
205800.0,9170800.0,0,0,0
206100.0,9365800.0,0,0,0
206400.0,9560800.0,0,0,0
206700.0,9755800.0,0,0,0
207000.0,9950800.0,0,0,0
207300.0,10145800.0,0,0,0
207600.0,10340800.0,0,0,0
207900.0,10535800.0,0,0,0
208200.0,10730800.0,0,0,0
208500.0,10925800.0,0,0,0
208800.0,11120800.0,0,0,0
209100.0,11315800.0,0,0,0
209400.0,11510800.0,0,0,0
209700.0,11705800.0,0,0,0
210000.0,11900800.0,0,0,0
210300.0,12095800.0,0,0,0
210600.0,12290800.0,0,0,0
210900.0,12485800.0,0,0,0
211200.0,12680800.0,0,0,0
211500.0,12875800.0,0,0,0
211800.0,13070800.0,0,0,0
212100.0,13265800.0,0,0,0
212400.0,13229680.0,24.0,0,0
212700.0,13135780.0,24.0,0,0
213000.0,13041880.0,24.0,0,0
213300.0,12947980.0,24.0,0,0
213600.0,12854080.0,24.0,0,0
213900.0,12760180.0,24.0,0,0
214200.0,12666280.0,24.0,0,0
214500.0,12572380.0,24.0,0,0
214800.0,12478480.0,24.0,0,0
215100.0,12384580.0,24.0,0,0
215400.0,12290680.0,24.0,0,0
215700.0,12196780.0,24.0,0,0
216000.0,12102880.0,24.0,0,0
216300.0,12008980.0,24.0,0,0
216600.0,11915080.0,24.0,0,0
216900.0,11821180.0,24.0,0,0
217200.0,11727280.0,24.0,0,0
217500.0,11633380.0,24.0,0,0
217800.0,11539480.0,24.0,0,0
218100.0,11445580.0,24.0,0,0
218400.0,11351680.0,24.0,0,0
218700.0,11257780.0,24.0,0,0
219000.0,11163880.0,24.0,0,0
219300.0,11069980.0,24.0,0,0
219600.0,10976080.0,24.0,0,0
219900.0,10882180.0,24.0,0,0
220200.0,10788280.0,24.0,0,0
220500.0,10694380.0,24.0,0,0
220800.0,10600480.0,24.0,0,0
221100.0,10506580.0,24.0,0,0
221400.0,10412680.0,24.0,0,0
221700.0,10318780.0,24.0,0,0
222000.0,10224880.0,24.0,0,0
222300.0,10130980.0,24.0,0,0
222600.0,10037080.0,24.0,0,0
222900.0,9943180.0,24.0,0,0
223200.0,10080400.0,0,0,0
223500.0,10275400.0,0,0,0
223800.0,10470400.0,0,0,0
224100.0,10665400.0,0,0,0
224400.0,10860400.0,0,0,0
224700.0,11055400.0,0,0,0
225000.0,11250400.0,0,0,0
225300.0,11445400.0,0,0,0
225600.0,11640400.0,0,0,0
225900.0,11835400.0,0,0,0
226200.0,12030400.0,0,0,0
226500.0,12225400.0,0,0,0
226800.0,12189280.0,24.0,0,0
227100.0,12095380.0,24.0,0,0
227400.0,12001480.0,24.0,0,0
227700.0,11907580.0,24.0,0,0
228000.0,11813680.0,24.0,0,0
228300.0,11719780.0,24.0,0,0
228600.0,11625880.0,24.0,0,0
228900.0,11531980.0,24.0,0,0
229200.0,11438080.0,24.0,0,0
229500.0,11344180.0,24.0,0,0
229800.0,11250280.0,24.0,0,0
230100.0,11156380.0,24.0,0,0
230400.0,11062480.0,24.0,0,0
230700.0,10968580.0,24.0,0,0
231000.0,10874680.0,24.0,0,0
231300.0,10780780.0,24.0,0,0
231600.0,10686880.0,24.0,0,0
231900.0,10592980.0,24.0,0,0
232200.0,10499080.0,24.0,0,0
232500.0,10405180.0,24.0,0,0
232800.0,10311280.0,24.0,0,0
233100.0,10217380.0,24.0,0,0
233400.0,10123480.0,24.0,0,0
233700.0,10029580.0,24.0,0,0
234000.0,9935680.0,24.0,0,0
234300.0,9841780.0,24.0,0,0
234600.0,9747880.0,24.0,0,0
234900.0,9653980.0,24.0,0,0
235200.0,9560080.0,24.0,0,0
235500.0,9466180.0,24.0,0,0
235800.0,9372280.0,24.0,0,0
236100.0,9278380.0,24.0,0,0
236400.0,9184480.0,24.0,0,0
236700.0,9090580.0,24.0,0,0
237000.0,8996680.0,24.0,0,0
237300.0,8902780.0,24.0,0,0
237600.0,8808880.0,24.0,0,0
237900.0,8714980.0,24.0,0,0
238200.0,8621080.0,24.0,0,0
238500.0,8527180.0,24.0,0,0
238800.0,8433280.0,24.0,0,0
239100.0,8339380.0,24.0,0,0
239400.0,8245480.0,24.0,0,0
239700.0,8151580.0,24.0,0,0
